"F2"	"Q2"	"x"	"F2err"
0.154	0.1	2.43e-06	0.0081652
0.207	0.15	3.31e-06	0.0061104
0.19	0.15	4.14e-06	0.0061149
0.187	0.15	5.02e-06	0.01036
0.247	0.2	4.41e-06	0.007008
0.24	0.2	5.52e-06	0.006439
0.229	0.2	6.69e-06	0.0059247
0.225	0.2	8.49e-06	0.0066304
0.209	0.2	1.1e-05	0.0090064
0.211	0.2	3.98e-05	0.0434027
0.181	0.2	0.000251	0.0278016
0.291	0.25	5.52e-06	0.008601
0.281	0.25	6.9e-06	0.0077556
0.269	0.25	8.36e-06	0.007315
0.262	0.25	1.06e-05	0.0067599
0.251	0.25	1.38e-05	0.006625
0.245	0.25	2.3e-05	0.0101675
0.237	0.25	3.98e-05	0.0113523
0.2	0.25	0.00011	0.0099
0.196	0.25	0.000251	0.0101724
0.195	0.25	0.000394	0.0115635
0.199	0.25	0.00158	0.0252531
0.351	0.35	6.62e-06	0.0108192
0.344	0.35	8.28e-06	0.0102845
0.353	0.35	1e-05	0.009744
0.329	0.35	1.27e-05	0.0088672
0.317	0.35	1.65e-05	0.0081844
0.299	0.35	3.2e-05	0.0125281
0.284	0.35	6.62e-05	0.0098484
0.259	0.35	0.00013	0.0086765
0.242	0.35	0.00022	0.0092202
0.242	0.35	5e-04	0.0091718
0.202	0.35	0.00251	0.0224018
0.365	0.4	8.83e-06	0.0179478
0.378	0.4	1.1e-05	0.013206
0.36	0.4	1.33e-05	0.0116025
0.357	0.4	1.7e-05	0.010153
0.337	0.4	2.2e-05	0.0093744
0.333	0.4	3.68e-05	0.0141764
0.321	0.4	8.83e-05	0.0115881
0.288	0.4	0.000176	0.0105984
0.277	0.4	0.000294	0.0101659
0.261	0.4	0.000631	0.0103095
0.433	0.5	1.58e-05	0.0199485
0.394	0.5	2.12e-05	0.0123872
0.38	0.5	2.76e-05	0.0115595
0.368	0.5	3.98e-05	0.0161113
0.349	0.5	1e-04	0.0098418
0.308	0.5	0.000251	0.0088704
0.301	0.5	0.000368	0.009331
