X	X LOW	X HIGH	Q**2 [GEV**2]	Q**2 [GEV**2] LOW	Q**2 [GEV**2] HIGH	F2/ALPHAE	error
0.0012	0.0006	0.0028	1.9	0.0	0.0	0.26899999999999996	0.04341658669218482
0.0021	0.0009	0.005	10.7	0.0	0.0	0.36200000000000004	0.07340980860893181
0.0032	0.0015	0.0067	3.7	0.0	0.0	0.26899999999999996	0.057428216061444916
0.0033	0.0015	0.0074	17.8	0.0	0.0	0.428	0.09360555539069249
0.0035	0.002	0.005	1.9	0.0	0.0	0.20750000000000002	0.017705931209625773
0.004	0.0025	0.0063	1.86	1.1	2.5	0.27	0.07615773105863909
0.0063	0.0028	0.0143	1.9	0.0	0.0	0.177	0.019235384061671346
0.0065	0.002	0.011000000000000001	17.3	0.0	0.0	0.43	0.1161077086157504
0.0075	0.005	0.01	1.9	0.0	0.0	0.189	0.01212435565298214
0.0075	0.005	0.01	5.0	0.0	0.0	0.35050000000000003	0.047010637094172636
0.01	0.0	0.02	0.38	0.3	0.5	0.1133	0.0069
0.01	0.0	0.02	0.24	0.2	0.3	0.0835	0.0052
0.011000000000000001	0.0063	0.02	1.86	1.1	2.5	0.22	0.05385164807134505
0.011000000000000001	0.0063	0.02	3.76	2.5	6.6	0.35	0.08544003745317531
0.011000000000000001	0.0	0.022000000000000002	0.7	0.3	1.6	0.1191	0.0048
0.0117	0.005	0.0273	10.7	0.0	0.0	0.263	0.03534119409414458
0.013999999999999999	0.0	0.027999999999999997	0.71	0.5	1.0	0.1167	0.006
0.0143	0.0067	0.0302	3.7	0.0	0.0	0.23199999999999998	0.026419689627245814
0.015	0.01	0.02	5.0	0.0	0.0	0.3	0.03272613634390714
0.015	0.01	0.02	1.9	0.0	0.0	0.1835	0.008860022573334675
0.0166	0.0074	0.0369	17.8	0.0	0.0	0.295	0.03807886552931954
0.0235	0.0111	0.0498	8.9	0.0	0.0	0.221	0.034481879299133336
