W(GeV)	WErrorp	WErrorm	sigma(nb)	Errorp	Errorm
22.7	8.3	5.699999999999999	354.4	25.52169826324259	25.52169826324259
27.0	4.0	4.0	310.0	29.77687861411938	29.77687861411938
27.5	7.5	7.5	372.0	48.45296275770967	48.45296275770967
35.0	4.0	4.0	329.0	32.47213527010504	32.47213527010504
37.8	9.200000000000003	6.799999999999997	374.8	32.99210071759603	32.99210071759603
43.0	4.0	4.0	345.0	38.76354601942398	38.76354601942398
45.0	10.0	10.0	414.0	49.840770459534426	49.840770459534426
51.0	4.0	4.0	364.0	44.81007029675361	44.81007029675361
54.8	10.200000000000003	7.799999999999997	411.5	41.16469968310227	41.16469968310227
65.0	10.0	10.0	373.0	49.41184169811929	49.41184169811929
67.5	12.5	12.5	439.0	52.91674971122093	52.91674971122093
80.2	24.799999999999997	15.200000000000003	470.3	56.45336213194039	56.45336213194039
95.0	15.0	15.0	464.0	76.87934443008733	76.87934443008733
120.4	24.599999999999994	15.400000000000006	572.0	108.73008967162679	108.73008967162679
158.69998999999999	26.300010000000015	13.699989999999985	734.1	227.73723902998387	227.73723902998387
