W(GeV)	WErrorp	WErrorm	sigma(nb)	Errorp	Errorm
2.5	0.5	0.5	471.0	12.0	12.0
3.5	0.5	0.5	479.0	16.0	16.0
5.0	1.0	1.0	408.0	16.0	16.0
6.7	0.0	0.0	425.2	36.77278341382387	36.77278341382387
7.0	1.0	1.0	331.0	24.0	24.0
9.0	1.0	1.0	391.0	24.0	24.0
12.3	0.0	0.0	369.2	26.493991771720623	26.493991771720623
15.0	5.0	5.0	362.0	38.0	35.0
22.7	0.0	0.0	340.4	20.830996135566824	20.830996135566824
27.5	7.5	7.5	372.0	40.0	40.0
37.8	0.0	0.0	348.8	19.203999583420117	19.203999583420117
45.0	10.0	10.0	414.0	42.0	41.0
54.8	0.0	0.0	374.5	20.020879725926132	20.020879725926132
67.5	12.5	12.5	439.0	45.0	41.0
80.2	0.0	0.0	421.3	24.79302774975255	24.79302774975255
95.0	15.0	15.0	464.0	76.0	62.0
120.4	0.0	0.0	483.0	58.3362023104007	58.3362023104007
158.7	0.0	0.0	532.1	105.77105475979712	105.77105475979712
