W(GeV)	WErrorp	WErrorm	sigma(nb)	Errorp	Errorm
2.5	0.5	0.5	471.0	12.0	12.0
3.5	0.5	0.5	479.0	16.0	16.0
5.0	1.0	1.0	408.0	16.0	16.0
6.7	0.0	0.0	397.2	35.981517477727365	35.981517477727365
7.0	1.0	1.0	331.0	24.0	24.0
9.0	1.0	1.0	391.0	24.0	24.0
12.3	0.0	0.0	365.2	26.35502988046115	26.35502988046115
15.0	5.0	5.0	362.0	38.0	35.0
22.7	0.0	0.0	354.4	21.406737257228155	21.406737257228155
27.5	7.5	7.5	372.0	40.0	40.0
37.8	0.0	0.0	374.8	20.391851313698815	20.391851313698815
45.0	10.0	10.0	414.0	42.0	41.0
54.8	0.0	0.0	411.5	21.760988603461932	21.760988603461932
67.5	12.5	12.5	439.0	45.0	41.0
80.2	0.0	0.0	470.3	26.905672728998994	26.905672728998994
95.0	15.0	15.0	464.0	76.0	62.0
120.4	0.0	0.0	572.0	60.31459193263269	60.31459193263269
158.7	0.0	0.0	734.1	108.75176791666424	108.75176791666424
