W(GeV)	WErrorp	WErrorm	sigma(mub)	Errorp	Errorm
2.0839360480598463	0.0	0.0	232.4	23.888542525654426	23.888542525654426
2.0862450511558444	0.0	0.0	217.5	8.926702918771298	8.926702918771298
2.0928682227902295	0.0	0.0	223.39999999999998	23.987671500168585	23.987671500168585
2.094529852227365	0.0	0.0	215.2	8.805995811945404	8.805995811945404
2.1018674892413705	0.0	0.0	241.60000000000002	25.740465885449705	25.740465885449705
2.1028713183408905	0.0	0.0	191.70000000000002	8.214725609538034	8.214725609538034
2.1109285961320046	0.0	0.0	232.4	25.877837313036807	25.877837313036807
2.1112653146151	0.0	0.0	191.1	8.198549064316198	8.198549064316198
2.119707911440665	0.0	0.0	174.7	7.764098404837486	7.764098404837486
2.1203853056134987	0.0	0.0	223.8	24.011522567300894	24.011522567300894
2.128195376426403	0.0	0.0	165.0	7.383231000043274	7.383231000043274
2.1295572952626514	0.0	0.0	207.9	22.39695122109257	22.39695122109257
2.1316021256524076	0.0	0.0	182.10000000000002	8.100314749440296	8.100314749440296
2.1367241663606826	0.0	0.0	158.70000000000002	7.288666382816543	7.288666382816543
2.1391191707799693	0.0	0.0	159.3	21.246400542209496	21.246400542209496
2.14529091924124	0.0	0.0	162.20000000000002	7.4439921440044525	7.4439921440044525
2.148727530113251	0.0	0.0	184.10000000000002	23.25755756738012	23.25755756738012
2.1538924464176006	0.0	0.0	149.60000000000002	6.993673209408629	6.993673209408629
2.1587233576947424	0.0	0.0	175.3	20.53466766227299	20.53466766227299
2.1625257248823084	0.0	0.0	148.60000000000002	7.108216777786114	7.108216777786114
2.1687597314016287	0.0	0.0	152.60000000000002	19.339991313338277	19.339991313338277
2.171187889740192	0.0	0.0	143.8	6.922013915039466	6.922013915039466
2.17848444177257	0.0	0.0	155.6	20.271968429336113	20.271968429336113
2.179876226878744	0.0	0.0	155.6	7.076604564337335	7.076604564337335
2.1885881658574102	0.0	0.0	150.0	13.999999999999998	13.999999999999998
2.1885881658574102	0.0	0.0	146.8	6.9944318882951455	6.9944318882951455
2.1889370994628368	0.0	0.0	180.60000000000002	21.557938305877027	21.557938305877027
2.197321273028958	0.0	0.0	153.6	7.093198274403444	7.093198274403444
2.199070229721261	0.0	0.0	159.89999999999998	20.485000951916014	20.485000951916014
2.2060732449021696	0.0	0.0	154.4	7.249710350076064	7.249710350076064
2.209578823492733	0.0	0.0	164.3	21.488711827375784	21.488711827375784
2.21484190175176	0.0	0.0	153.6	7.5122208274251365	7.5122208274251365
2.2197588643175	0.0	0.0	116.0	19.36797356462467	19.36797356462467
2.223625181478555	0.0	0.0	146.8	7.2077789533253585	7.2077789533253585
2.230661019479234	0.0	0.0	196.8	22.447127566795714	22.447127566795714
2.2324211337205817	0.0	0.0	153.5	7.438276749355324	7.438276749355324
2.2359426463663152	0.0	0.0	153.70000000000002	6.56443534205342	6.56443534205342
2.241227914213766	0.0	0.0	170.8	19.562844782904147	19.562844782904147
2.241227914213766	0.0	0.0	144.2	7.293658056147136	7.293658056147136
2.2500437793992507	0.0	0.0	151.5	7.319344301233547	7.319344301233547
2.2518078959494416	0.0	0.0	158.1	18.867217706911635	18.867217706911635
2.2535722969374374	0.0	0.0	151.0	9.0	9.0
2.258867081273066	0.0	0.0	155.9	7.495756156652909	7.495756156652909
2.262751285612138	0.0	0.0	175.4	21.281377399031296	21.281377399031296
2.2676962624727697	0.0	0.0	154.1	7.311724308259989	7.311724308259989
2.2737027097699287	0.0	0.0	165.0	20.742227459942676	20.742227459942676
2.2765298515948786	0.0	0.0	146.1	7.119344264747983	7.119344264747983
2.2850129532144834	0.0	0.0	163.70000000000002	19.91243872558055	19.91243872558055
2.285366458736238	0.0	0.0	138.8	6.948442173609852	6.948442173609852
2.2942047712520135	0.0	0.0	156.5	7.370416609663256	7.370416609663256
2.2959725280862395	0.0	0.0	164.0	19.928231231095246	19.928231231095246
2.3030435497226502	0.0	0.0	150.2	7.146985815013207	7.146985815013207
2.307285982787632	0.0	0.0	141.7	18.01401942932226	18.01401942932226
2.311881624121929	0.0	0.0	150.29999999999998	6.489541127075164	6.489541127075164
2.318597407997888	0.0	0.0	142.3	18.044263797672656	18.044263797672656
2.3207178901781265	0.0	0.0	145.4	6.296759560281781	6.296759560281781
2.329551305920273	0.0	0.0	138.9	5.999412534573698	5.999412534573698
2.3383808884015003	0.0	0.0	144.5	6.272764063791974	6.272764063791974
2.3419114386156363	0.0	0.0	146.0	6.635473155698847	6.635473155698847
2.347205710591622	0.0	0.0	142.5	6.544770813405156	6.544770813405156
2.356024898431151	0.0	0.0	141.5	6.5875428651356795	6.5875428651356795
2.36483762803921	0.0	0.0	142.4	6.747672973699897	6.747672973699897
2.3736431230679353	0.0	0.0	143.2	6.562409118608805	6.562409118608805
2.3824406521962302	0.0	0.0	148.60000000000002	6.69975714186716	6.69975714186716
2.3912295267559442	0.0	0.0	153.9	7.033498614487672	7.033498614487672
2.400009098483817	0.0	0.0	135.4	6.507928469182801	6.507928469182801
2.4017638421601215	0.0	0.0	115.0	12.0	12.0
2.4087787573927835	0.0	0.0	148.0	7.023604772479727	7.023604772479727
2.417537929756483	0.0	0.0	144.3	6.794173860006823	6.794173860006823
2.426286076201093	0.0	0.0	143.5	6.774558361989363	6.774558361989363
2.4297821329382687	0.0	0.0	143.2	6.332454816262016	6.332454816262016
2.435022689898864	0.0	0.0	149.10000000000002	6.5610768171086065	6.5610768171086065
2.4437472948579755	0.0	0.0	143.5	6.75077958461095	6.75077958461095
2.4472336733710693	0.0	0.0	148.5	6.9329304049586415	6.9329304049586415
2.4524594443036096	0.0	0.0	138.0	6.725295532539815	6.725295532539815
2.461158719145364	0.0	0.0	131.70000000000002	6.610627882432953	6.610627882432953
2.4698447265263668	0.0	0.0	144.5	6.769950147526937	6.769950147526937
2.4785170984497005	0.0	0.0	137.5	6.716072140767995	6.716072140767995
2.487175490477961	0.0	0.0	144.9	6.854663303182732	6.854663303182732
2.495819580501976	0.0	0.0	135.9	6.686697914516553	6.686697914516553
2.504449067574936	0.0	0.0	138.3	6.809860571259884	6.809860571259884
2.5130636708083847	0.0	0.0	139.0	6.902093885191652	6.902093885191652
2.5175372947328154	0.0	0.0	146.3	12.53931711218757	12.53931711218757
2.521663128326689	0.0	0.0	136.1	6.849882407749785	6.849882407749785
2.5302471962768047	0.0	0.0	128.6	6.7181964841763895	6.7181964841763895
2.5388156478903325	0.0	0.0	135.9	6.926898945415618	6.926898945415618
2.547368272594991	0.0	0.0	139.5	7.152218187387742	7.152218187387742
2.5507848467161303	0.0	0.0	144.2	8.185003613927119	8.185003613927119
2.5559048751728364	0.0	0.0	132.70000000000002	6.789577380073078	6.789577380073078
2.5644252749626553	0.0	0.0	138.7	6.976669764292989	6.976669764292989
2.5729293051041444	0.0	0.0	143.1	7.135814529540409	7.135814529540409
2.581416811821587	0.0	0.0	140.3	7.166287811691629	7.166287811691629
2.589887653744891	0.0	0.0	140.4	7.007206576090075	7.007206576090075
2.598341701265942	0.0	0.0	138.9	7.387414229620538	7.387414229620538
2.601718590946215	0.0	0.0	134.0	8.0	8.0
2.60677883592838	0.0	0.0	141.0	7.178641932844958	7.178641932844958
2.6151989498489616	0.0	0.0	130.39999999999998	6.995980560293174	6.995980560293174
2.623601945168829	0.0	0.0	136.3	7.01497833211194	7.01497833211194
2.631987733533043	0.0	0.0	124.10000000000001	8.552819944322458	8.552819944322458
2.6403562355968826	0.0	0.0	128.39999999999998	7.989862577040984	7.989862577040984
2.6487073805574597	0.0	0.0	129.89999999999998	8.629983140192106	8.629983140192106
2.652042964244447	0.0	0.0	142.0	9.651612093324099	9.651612093324099
2.657041105709297	0.0	0.0	132.5	8.312077056909422	8.312077056909422
2.6653573560225774	0.0	0.0	134.3	7.144427268857875	7.144427268857875
