sqrt(s)(GeV)	sigma(mub)	error(mub)
3.862	122.0	8.0
1.89243	145.1	5.7
2.47642	132.0	3.0
3.11401	127.0	3.0
2.988	128.5	3.0
2.15217	143.2	6.33245
2.64846	126.8	5.52858
3.14697	121.8	5.34569
3.53975	115.9	5.13152
3.93623	123.8	5.50294
4.32673	114.1	5.35445
2.79661	128.4	4.6
2.87598	136.1	4.9
2.9564	132.9	5.0
3.03159	128.3	5.7
3.11401	126.9	4.2
3.20603	134.4	4.4
3.29548	121.7	4.4
3.38256	130.1	5.2
3.47826	120.7	4.0
3.58189	128.6	4.2
3.68281	120.1	4.2
3.78312	118.0	4.5
3.90993	123.9	4.0
4.02809	121.6	4.1
4.14289	119.2	4.2
4.25679	114.9	4.4
4.20358	122.5	4.1
4.33323	123.5	4.2
4.45701	122.2	4.2
4.5795	112.1	4.6
4.37845	117.1	4.0
4.51348	128.1	4.3
4.64458	127.9	4.4
4.77208	122.2	4.6
4.71473	121.4	4.0
4.85973	115.3	4.0
5.00052	116.2	4.1
5.13928	117.7	4.8
4.91157	115.0	4.5
5.0639	111.1	4.5
5.21178	119.3	4.9
5.35557	113.3	5.8
5.37306	112.7	4.2
5.53981	114.9	4.5
5.70333	112.5	5.9
5.86069	115.2	8.1
