FL	Q2	x	FLerr
0.091	1.5	0.0000279	0.226
0.102	2.0	0.0000372	0.16
0.419	2.0	0.0000415	0.223
0.035	2.0	0.0000464	0.121
0.007	2.5	0.0000465	0.141
0.093	2.5	0.0000519	0.149
0.167	2.5	0.0000580	0.117
0.161	2.5	0.0000658	0.125
0.396	2.5	0.0000759	0.199
0.128	3.5	0.0000651	0.159
0.198	3.5	0.0000727	0.153
0.248	3.5	0.0000812	0.112
0.227	3.5	0.0000921	0.112
0.144	3.5	0.000106	0.141
0.630	3.5	0.000141	0.278
0.411	5.0	0.0000931	0.194
0.341	5.0	0.000104	0.163
0.254	5.0	0.000116	0.129
0.305	5.0	0.000131	0.123
0.217	5.0	0.000152	0.149
0.512	5.0	0.000201	0.229
0.429	6.5	0.000121	0.218
0.196	6.5	0.000135	0.172
0.136	6.5	0.000151	0.136
0.356	6.5	0.000171	0.134
0.316	6.5	0.000197	0.162
0.186	6.5	0.000262	0.231
0.497	8.5	0.000158	0.244
0.480	8.5	0.000177	0.211
0.268	8.5	0.000197	0.148
0.240	8.5	0.000224	0.140
-0.123	8.5	0.000258	0.157
0.163	8.5	0.000342	0.241
0.088	12	0.000223	0.207
0.533	12	0.000249	0.193
0.272	12	0.000278	0.124
0.239	12	0.000316	0.118
0.423	12	0.000364	0.140
0.397	12	0.000483	0.183
0.502	15	0.000279	0.230
0.137	15	0.000312	0.181
0.177	15	0.000348	0.123
0.408	15	0.000395	0.118
0.246	15	0.000455	0.141
0.048	15	0.000604	0.180
0.209	20	0.000372	0.238
0.309	20	0.000415	0.189
0.402	20	0.000464	0.135
0.347	20	0.000526	0.122
0.289	20	0.000607	0.141
0.194	20	0.000805	0.188
0.350	25	0.000493	0.178
0.274	25	0.000616	0.104
0.281	25	0.000759	0.147
0.149	25	0.00101	0.193
0.019	35	0.000727	0.281
0.104	35	0.000812	0.230
0.423	35	0.000921	0.154
0.185	35	0.00106	0.156
0.036	35	0.00141	0.195
0.358	45	0.00104	0.330
0.405	45	0.00118	0.303
0.236	45	0.00137	0.188
0.077	45	0.00181	0.203
