F2/ALPHAE	Q**2 [GEV**2]	X	error
0.26899999999999996	1.9	0.0012	0.04341658669218482
0.36200000000000004	10.7	0.0021	0.07340980860893181
0.26899999999999996	3.7	0.0032	0.057428216061444916
0.428	17.8	0.0033	0.09360555539069249
0.20750000000000002	1.9	0.0035	0.017705931209625773
0.27	1.86	0.004	0.07615773105863909
0.177	1.9	0.0063	0.019235384061671346
0.43	17.3	0.0065	0.1161077086157504
0.189	1.9	0.0075	0.01212435565298214
0.35050000000000003	5.0	0.0075	0.047010637094172636
0.1133	0.38	0.01	0.0069
0.0835	0.24	0.01	0.0052
0.22	1.86	0.011000000000000001	0.05385164807134505
0.35	3.76	0.011000000000000001	0.08544003745317531
0.1191	0.7	0.011000000000000001	0.0048
0.263	10.7	0.0117	0.03534119409414458
0.1167	0.71	0.013999999999999999	0.006
0.23199999999999998	3.7	0.0143	0.026419689627245814
0.3	5.0	0.015	0.03272613634390714
0.1835	1.9	0.015	0.008860022573334675
0.295	17.8	0.0166	0.03807886552931954
0.221	8.9	0.0235	0.034481879299133336
