j	t1(j)	t2(j)	t3(j)	t4(j)
0.1	-183.17	-164.135	-148.911	-136.845
0.11	-181.034	-162.161	-147.065	-134.356
0.12	-178.899	-160.187	-145.222	-132.269
0.13	-176.765	-158.215	-143.38	-130.541
0.14	-174.632	-156.245	-141.541	-128.816
0.15	-172.5	-154.277	-139.704	-127.093
0.16	-170.369	-152.31	-137.869	-125.372
0.17	-168.239	-150.345	-136.036	-123.655
0.18	-166.11	-148.381	-134.205	-121.939
0.19	-163.982	-146.419	-132.377	-120.227
0.2	-161.855	-144.459	-130.551	-118.518
0.21	-159.729	-142.501	-128.728	-116.811
0.22	-157.604	-140.545	-126.907	-115.107
0.23	-155.48	-138.59	-125.088	-113.407
0.24	-153.358	-136.638	-123.272	-111.709
0.25	-151.236	-134.687	-121.458	-110.014
0.26	-149.116	-132.739	-119.647	-108.323
0.27	-146.997	-130.792	-117.839	-106.634
0.28	-144.879	-128.848	-116.034	-104.949
0.29	-142.762	-126.905	-114.231	-103.267
0.3	-140.647	-124.965	-112.431	-101.589
0.31	-138.533	-123.027	-110.634	-99.9136
0.32	-136.42	-121.091	-108.839	-98.242
0.33	-134.309	-119.158	-107.048	-96.5741
0.34	-132.199	-117.227	-105.26	-94.9098
0.35	-130.09	-115.298	-103.475	-93.2492
0.36	-127.983	-113.372	-101.694	-91.5924
0.37	-125.878	-111.448	-99.915	-89.9395
0.38	-123.774	-109.527	-98.1399	-88.2906
0.39	-121.671	-107.608	-96.3682	-86.6458
0.4	-119.571	-105.693	-94.6001	-85.0052
0.41	-117.472	-103.78	-92.8355	-83.3688
0.42	-115.374	-101.869	-91.0746	-81.7368
0.43	-113.278	-99.962	-89.3175	-80.1093
0.44	-111.184	-98.0577	-87.5643	-78.4863
0.45	-109.092	-96.1565	-85.815	-76.8681
0.46	-107.002	-94.2584	-84.0699	-75.2547
0.47	-104.914	-92.3636	-82.3289	-73.6462
0.48	-102.828	-90.4721	-80.5923	-72.0428
0.49	-100.743	-88.5841	-78.86	-70.4446
0.5	-98.6614	-86.6995	-77.1324	-68.8518
0.51	-96.5816	-84.8187	-75.4094	-67.2645
0.52	-94.504	-82.9416	-73.6913	-65.6829
0.53	-92.4288	-81.0684	-71.9782	-64.107
0.54	-90.356	-79.1992	-70.2702	-62.5372
0.55	-88.2858	-77.3341	-68.5675	-60.9736
0.56	-86.2181	-75.4734	-66.8703	-59.4164
0.57	-84.1532	-73.617	-65.1787	-57.8658
0.58	-82.0911	-71.7653	-63.4931	-56.3219
0.59	-80.0319	-69.9184	-61.8134	-54.7851
0.6	-77.9757	-68.0764	-60.1401	-53.2556
0.61	-75.9228	-66.2396	-58.4733	-51.7335
0.62	-73.8731	-64.4081	-56.8132	-50.2192
0.63	-71.8269	-62.5823	-55.1602	-48.713
0.64	-69.7843	-60.7622	-53.5145	-47.2152
0.65	-67.7455	-58.9483	-51.8763	-45.726
0.66	-65.7107	-57.1407	-50.2461	-44.2459
0.67	-63.68	-55.3398	-48.6242	-42.7751
0.68	-61.6538	-53.5458	-47.011	-41.314
0.69	-59.6323	-51.7593	-45.4067	-39.8631
0.7	-57.6156	-49.9804	-43.812	-38.4228
0.71	-55.6042	-48.2097	-42.2271	-36.9935
0.72	-53.5983	-46.4476	-40.6527	-35.5758
0.73	-51.5984	-44.6947	-39.0893	-34.1701
0.74	-49.6048	-42.9514	-37.5374	-32.7771
0.75	-47.618	-41.2184	-35.9978	-31.3973
0.76	-45.6386	-39.4964	-34.471	-30.0313
0.77	-43.6671	-37.7861	-32.9578	-28.6798
0.78	-41.7042	-36.0884	-31.4592	-27.3436
