j	t1(j)	t2(j)	t3(j)	t4(j)
0.1	-183.171	-164.136	-148.911	-136.845
0.11	-181.035	-162.161	-147.065	-134.356
0.12	-178.9	-160.188	-145.222	-132.269
0.13	-176.766	-158.216	-143.38	-130.541
0.14	-174.633	-156.246	-141.541	-128.816
0.15	-172.501	-154.277	-139.704	-127.092
0.16	-170.37	-152.31	-137.869	-125.372
0.17	-168.24	-150.345	-136.036	-123.654
0.18	-166.11	-148.381	-134.206	-121.939
0.19	-163.982	-146.42	-132.377	-120.227
0.2	-161.855	-144.46	-130.551	-118.518
0.21	-159.729	-142.502	-128.728	-116.811
0.22	-157.605	-140.545	-126.907	-115.107
0.23	-155.481	-138.591	-125.088	-113.407
0.24	-153.358	-136.638	-123.272	-111.709
0.25	-151.237	-134.688	-121.458	-110.014
0.26	-149.116	-132.739	-119.648	-108.322
0.27	-146.997	-130.793	-117.839	-106.634
0.28	-144.879	-128.848	-116.034	-104.949
0.29	-142.763	-126.906	-114.231	-103.267
0.3	-140.648	-124.965	-112.431	-101.589
0.31	-138.534	-123.027	-110.634	-99.9136
0.32	-136.421	-121.092	-108.84	-98.242
0.33	-134.309	-119.158	-107.048	-96.5741
0.34	-132.2	-117.227	-105.26	-94.9098
0.35	-130.091	-115.298	-103.475	-93.2492
0.36	-127.984	-113.372	-101.694	-91.5924
0.37	-125.878	-111.448	-99.9151	-89.9396
0.38	-123.774	-109.527	-98.14	-88.2907
0.39	-121.672	-107.609	-96.3683	-86.6459
0.4	-119.571	-105.693	-94.6001	-85.0052
0.41	-117.472	-103.78	-92.8355	-83.3689
0.42	-115.375	-101.87	-91.0747	-81.7369
0.43	-113.279	-99.9623	-89.3176	-80.1094
0.44	-111.185	-98.058	-87.5643	-78.4864
0.45	-109.093	-96.1568	-85.8151	-76.8682
0.46	-107.003	-94.2587	-84.0699	-75.2548
0.47	-104.914	-92.3639	-82.329	-73.6463
0.48	-102.828	-90.4724	-80.5923	-72.0429
0.49	-100.744	-88.5843	-78.8601	-70.4447
0.5	-98.6618	-86.6998	-77.1324	-68.8519
0.51	-96.582	-84.8189	-75.4095	-67.2646
0.52	-94.5044	-82.9418	-73.6914	-65.683
0.53	-92.4292	-81.0686	-71.9782	-64.1071
0.54	-90.3564	-79.1994	-70.2702	-62.5373
0.55	-88.2861	-77.3343	-68.5675	-60.9737
0.56	-86.2185	-75.4736	-66.8703	-59.4165
0.57	-84.1535	-73.6172	-65.1788	-57.8658
0.58	-82.0914	-71.7655	-63.4931	-56.322
0.59	-80.0322	-69.9186	-61.8135	-54.7852
0.6	-77.976	-68.0766	-60.1402	-53.2556
0.61	-75.9231	-66.2398	-58.4733	-51.7335
0.62	-73.8734	-64.4083	-56.8133	-50.2193
0.63	-71.8272	-62.5824	-55.1603	-48.7131
0.64	-69.7846	-60.7624	-53.5145	-47.2152
0.65	-67.7457	-58.9484	-51.8764	-45.726
0.66	-65.7109	-57.1408	-50.2462	-44.2458
0.67	-63.6803	-55.3399	-48.6243	-42.775
0.68	-61.654	-53.5459	-47.011	-41.314
0.69	-59.6325	-51.7594	-45.4068	-39.8631
0.7	-57.6158	-49.9805	-43.8121	-38.4228
0.71	-55.6044	-48.2098	-42.2272	-36.9935
0.72	-53.5985	-46.4477	-40.6528	-35.5758
0.73	-51.5986	-44.6947	-39.0894	-34.1701
0.74	-49.605	-42.9515	-37.5375	-32.7771
0.75	-47.6182	-41.2185	-35.9978	-31.3973
0.76	-45.6387	-39.4964	-34.471	-30.0313
0.77	-43.6672	-37.7861	-32.9579	-28.6799
0.78	-41.7043	-36.0884	-31.4592	-27.3437
0.79	-39.7508	-34.4043	-29.9759	-26.0235
0.8	-37.8077	-32.7347	-28.5089	-24.7202
0.81	-35.8761	-31.081	-27.0594	-23.4345
0.82	-33.9572	-29.4444	-25.6283	-22.1673
0.83	-32.0527	-27.8266	-24.2171	-20.9195
0.84	-30.1645	-26.2293	-22.827	-19.692
0.85	-28.295	-24.6544	-21.4593	-18.4856
0.86	-26.4473	-23.1043	-20.1156	-17.3012
0.87	-24.6252	-21.5814	-18.7972	-16.1393
0.88	-22.834	-20.0884	-17.5055	-15.0005
0.89	-21.0804	-18.6281	-16.2414	-13.8848
0.9	-19.3739	-17.2032	-15.0057	-12.792
0.91	-17.7271	-15.8158	-13.7982	-11.7212
0.92	-16.1564	-14.4678	-12.6181	-10.6706
0.93	-14.6815	-13.1618	-11.4635	-9.63775
0.94	-13.321	-11.9042	-10.3329	-8.61952
0.95	-12.0852	-10.7084	-9.2275	-7.61304
0.96	-10.9725	-9.59201	-8.15583	-6.61835
0.97	-9.97242	-8.5662	-7.13399	-5.64232
0.98	-9.07162	-7.63141	-6.17822	-4.70041
0.99	-8.25738	-6.78071	-5.29671	-3.81107
1	-7.51865	-6.00513	-4.48916	-2.98661
1.01	-6.8461	-5.29629	-3.75078	-2.2307
1.02	-6.23186	-4.64705	-3.07539	-1.54549
1.03	-5.6693	-4.05137	-2.45687	-0.948318
1.04	-5.1528	-3.50404	-1.89014	-0.487816
1.05	-4.67758	-3.00045	-1.37238	-0.165331
1.06	-4.23955	-2.53645	-0.9049	0.101076
1.07	-3.83516	-2.10829	-0.494211	0.369088
1.08	-3.4613	-1.71276	-0.147919	0.667276
1.09	-3.11522	-1.3472	0.137411	1.00255
1.1	-2.79447	-1.00955	0.379517	1.36363
1.11	-2.49682	-0.698363	0.598044	1.73556
1.12	-2.22028	-0.412565	0.806739	2.10827
1.13	-1.96303	-0.151178	1.01379	2.47635
1.14	-1.72341	0.0870924	1.22365	2.83712
1.15	-1.49991	0.304145	1.43823	3.1893
1.16	-1.29118	0.502508	1.65765	3.53238
1.17	-1.09597	0.685084	1.88095	3.86626
1.18	-0.913153	0.854787	2.10668	4.19105
1.19	-0.741687	1.01424	2.33335	4.50701
1.2	-0.580627	1.16565	2.55965	4.81447
1.21	-0.429102	1.31076	2.78455	5.11382
1.22	-0.286312	1.4509	3.00729	5.40546
1.23	-0.151516	1.58709	3.22732	5.68978
1.24	-0.0240339	1.7201	3.44429	5.9672
1.25	0.0967637	1.85046	3.65796	6.2381
1.26	0.211455	1.9786	3.86819	6.50286
1.27	0.320571	2.1048	4.07494	6.76185
1.28	0.424598	2.2293	4.27817	7.0154
1.29	0.523979	2.35225	4.47794	7.26384
1.3	0.61912	2.47377	4.67428	7.50747
1.31	0.710388	2.59395	4.86727	7.74657
1.32	0.798115	2.71284	5.057	7.9814
1.33	0.882603	2.83052	5.24355	8.2122
1.34	0.964124	2.947	5.42703	8.43919
1.35	1.04292	3.06234	5.60754	8.66258
1.36	1.11922	3.17655	5.78517	8.88256
1.37	1.19322	3.28966	5.96004	9.09931
1.38	1.2651	3.4017	6.13223	9.31298
1.39	1.33502	3.51269	6.30185	9.52374
1.4	1.40314	3.62265	6.46899	9.73171
1.41	1.46957	3.73159	6.63375	9.93703
1.42	1.53444	3.83955	6.79621	10.1398
1.43	1.59787	3.94654	6.95647	10.3402
1.44	1.65995	4.05259	7.1146	10.5382
1.45	1.72077	4.1577	7.27069	10.734
