j	t1(j)	t2(j)	t3(j)	t4(j)
0.1	-235.216	-108.702	-96.3165	-86.3677
0.11	-231.324	-107.004	-94.7742	-84.949
0.12	-227.429	-105.307	-93.2341	-83.5333
0.13	-223.533	-103.611	-91.6962	-82.1204
0.14	-219.635	-101.917	-90.1607	-80.7105
0.15	-215.737	-100.224	-88.6276	-79.3037
0.16	-211.841	-98.5327	-87.097	-77.9
0.17	-207.947	-96.8429	-85.5689	-76.4995
0.18	-204.057	-95.1547	-84.0433	-75.1022
0.19	-200.172	-93.4682	-82.5204	-73.7084
0.2	-196.292	-91.7833	-81.0003	-72.318
0.21	-192.419	-90.1001	-79.4829	-70.9311
0.22	-188.554	-88.4187	-77.9684	-69.5479
0.23	-184.699	-86.7392	-76.4569	-68.1684
0.24	-180.854	-85.0615	-74.9484	-66.7927
0.25	-177.02	-83.3858	-73.4431	-65.421
0.26	-173.2	-81.7121	-71.941	-64.0534
0.27	-169.394	-80.0405	-70.4423	-62.6899
0.28	-165.603	-78.3711	-68.947	-61.3307
0.29	-161.828	-76.7039	-67.4553	-59.976
0.3	-158.072	-75.039	-65.9673	-58.6258
0.31	-154.334	-73.3765	-64.4831	-57.2803
0.32	-150.617	-71.7165	-63.0028	-55.9397
0.33	-146.921	-70.0592	-61.5266	-54.6041
0.34	-143.248	-68.4045	-60.0547	-53.2737
0.35	-139.599	-66.7527	-58.5872	-51.9487
0.36	-135.976	-65.1038	-57.1243	-50.6292
0.37	-132.379	-63.458	-55.6661	-49.3155
0.38	-128.81	-61.8155	-54.2128	-48.0078
0.39	-125.271	-60.1763	-52.7648	-46.7062
0.4	-121.762	-58.5407	-51.3221	-45.4111
0.41	-118.285	-56.9088	-49.8851	-44.1227
0.42	-114.841	-55.2809	-48.454	-42.8411
0.43	-111.432	-53.6572	-47.0291	-41.5669
0.44	-108.058	-52.0378	-45.6106	-40.3001
0.45	-104.721	-50.4232	-44.199	-39.0412
0.46	-101.423	-48.8135	-42.7946	-37.7905
0.47	-98.164	-47.2092	-41.3977	-36.5483
0.48	-94.9461	-45.6105	-40.0088	-35.3151
0.49	-91.7703	-44.018	-38.6283	-34.0912
0.5	-88.638	-42.432	-37.2568	-32.877
0.51	-85.5503	-40.8532	-35.8947	-31.6731
0.52	-82.5084	-39.2821	-34.5428	-30.4799
0.53	-79.5136	-37.7194	-33.2015	-29.2979
0.54	-76.5671	-36.166	-31.8718	-28.1277
0.55	-73.67	-34.6229	-30.5543	-26.9698
0.56	-70.8236	-33.0911	-29.2498	-25.8247
0.57	-68.0288	-31.572	-27.9594	-24.693
0.58	-65.2869	-30.0673	-26.6839	-23.5753
0.59	-62.5989	-28.5789	-25.4245	-22.4722
