W(GeV)	WErrorp	WErrorm	sigma(nb)	Errorp	Errorm
2.5	0.5	0.5	471.0	12.0	12.0
3.5	0.5	0.5	479.0	16.0	16.0
5.0	1.0	1.0	408.0	16.0	16.0
6.7	0.0	0.0	369.2	35.22813648207921	35.22813648207921
7.0	1.0	1.0	331.0	24.0	24.0
9.0	1.0	1.0	391.0	24.0	24.0
12.3	0.0	0.0	361.2	26.216857172437734	26.216857172437734
15.0	5.0	5.0	362.0	38.0	35.0
22.7	0.0	0.0	368.4	21.989688492563964	21.989688492563964
27.5	7.5	7.5	372.0	40.0	40.0
37.8	0.0	0.0	400.8	21.592628371738353	21.592628371738353
45.0	10.0	10.0	414.0	42.0	41.0
54.8	0.0	0.0	448.5	23.51787883717407	23.51787883717407
67.5	12.5	12.5	439.0	45.0	41.0
80.2	0.0	0.0	519.3	29.071312749857032	29.071312749857032
95.0	15.0	15.0	464.0	76.0	62.0
120.4	0.0	0.0	661.0	62.54752193332683	62.54752193332683
158.7	0.0	0.0	936.1	112.56286254800027	112.56286254800027
