Q2	alphaQED	InvalphaQED
1	0.00729305	137.117
1.02329	0.0072962	137.058
1.04713	0.00729931	136.999
1.07152	0.00730236	136.942
1.09648	0.00730536	136.886
1.12202	0.00730832	136.83
1.14815	0.00731122	136.776
1.1749	0.00731408	136.723
1.20226	0.00731689	136.67
1.23027	0.00731966	136.618
1.25893	0.00732239	136.568
1.28825	0.00732507	136.518
1.31826	0.00732771	136.468
1.34896	0.00733031	136.42
1.38038	0.00733286	136.372
1.41254	0.00733538	136.326
1.44544	0.00733786	136.279
1.47911	0.00734031	136.234
1.51356	0.00734271	136.189
1.54882	0.00734509	136.145
1.58489	0.00734742	136.102
1.62181	0.00734972	136.06
1.65959	0.00735199	136.018
1.69824	0.00735423	135.976
1.7378	0.00735643	135.936
1.77828	0.0073586	135.895
1.8197	0.00736074	135.856
1.86209	0.00736285	135.817
1.90546	0.00736493	135.779
1.94984	0.00736699	135.741
1.99526	0.00736901	135.703
2.04174	0.00737101	135.667
2.0893	0.00737298	135.63
2.13796	0.00737492	135.595
2.18776	0.00737684	135.559
2.23872	0.00737874	135.525
2.29087	0.00738061	135.49
2.34423	0.00738245	135.456
2.39883	0.00738427	135.423
2.45471	0.00738607	135.39
2.51189	0.00738785	135.357
2.5704	0.0073896	135.325
2.63027	0.00739134	135.294
2.69153	0.00739305	135.262
2.75423	0.00739474	135.231
2.81838	0.00739641	135.201
2.88403	0.00739807	135.17
2.95121	0.0073997	135.141
3.01995	0.00740131	135.111
3.0903	0.00740291	135.082
3.16228	0.00740449	135.053
3.23594	0.00740605	135.025
3.31131	0.0074076	134.997
3.38844	0.00740912	134.969
3.46737	0.00741063	134.941
3.54813	0.00741213	134.914
3.63078	0.00741361	134.887
3.71535	0.00741507	134.86
3.80189	0.00741652	134.834
3.89045	0.00741796	134.808
3.98107	0.00741938	134.782
4.0738	0.00742081	134.756
4.16869	0.00742223	134.73
4.2658	0.00742364	134.705
4.36516	0.00742503	134.68
4.46684	0.00742642	134.654
4.57088	0.00742779	134.63
4.67735	0.00742915	134.605
4.7863	0.00743049	134.581
4.89779	0.00743183	134.556
5.01187	0.00743316	134.532
5.12861	0.00743447	134.509
5.24807	0.00743577	134.485
5.37032	0.00743707	134.462
5.49541	0.00743835	134.438
5.62341	0.00743962	134.415
5.7544	0.00744089	134.393
5.88844	0.00744214	134.37
6.0256	0.00744338	134.347
6.16595	0.00744462	134.325
6.30957	0.00744585	134.303
6.45654	0.00744707	134.281
6.60693	0.00744828	134.259
6.76083	0.00744948	134.238
6.91831	0.00745067	134.216
7.07946	0.00745186	134.195
7.24436	0.00745303	134.174
7.4131	0.00745421	134.152
7.58578	0.00745537	134.132
7.76247	0.00745653	134.111
7.94328	0.00745767	134.09
8.12831	0.00745882	134.07
8.31764	0.00745995	134.049
8.51138	0.00746108	134.029
8.70964	0.00746221	134.009
8.91251	0.00746332	133.989
9.12011	0.00746443	133.969
9.33254	0.00746554	133.949
9.54993	0.00746664	133.929
9.77237	0.00746773	133.909
10	0.00746882	133.89
10.2329	0.0074699	133.871
10.4713	0.00747098	133.851
10.7152	0.00747205	133.832
10.9648	0.00747312	133.813
11.2202	0.00747418	133.794
11.4815	0.00747524	133.775
11.749	0.00747629	133.756
12.0226	0.00747734	133.737
12.3027	0.00747838	133.719
12.5893	0.00747942	133.7
12.8825	0.00748046	133.682
13.1826	0.00748149	133.663
13.4896	0.00748251	133.645
13.8038	0.00748354	133.627
14.1254	0.00748456	133.608
14.4544	0.00748557	133.59
14.7911	0.00748658	133.572
15.1356	0.00748759	133.554
15.4882	0.0074886	133.536
15.8489	0.0074896	133.519
16.2181	0.00749062	133.5
16.5959	0.00749167	133.482
16.9824	0.0074927	133.463
17.378	0.00749374	133.445
17.7828	0.00749477	133.426
18.197	0.0074958	133.408
18.6209	0.00749683	133.39
19.0546	0.00749785	133.372
19.4984	0.00749887	133.353
19.9526	0.00749989	133.335
20.4174	0.00750091	133.317
20.893	0.00750192	133.299
21.3796	0.00750293	133.281
21.8776	0.00750394	133.263
22.3872	0.00750495	133.245
22.9087	0.00750595	133.228
23.4423	0.00750696	133.21
23.9883	0.00750796	133.192
24.5471	0.00750895	133.174
25.1189	0.00750995	133.157
25.704	0.00751095	133.139
26.3027	0.00751194	133.121
26.9153	0.00751293	133.104
27.5423	0.00751392	133.086
28.1838	0.0075149	133.069
28.8403	0.00751589	133.051
29.5121	0.00751687	133.034
30.1995	0.00751786	133.017
30.903	0.00751884	132.999
31.6228	0.00751982	132.982
32.3594	0.00752079	132.965
33.1131	0.00752177	132.947
33.8844	0.00752275	132.93
34.6737	0.00752372	132.913
35.4813	0.00752469	132.896
36.3078	0.00752566	132.879
37.1535	0.00752663	132.862
38.0189	0.0075276	132.844
38.9045	0.00752857	132.827
39.8107	0.00752953	132.81
40.738	0.0075305	132.793
41.6869	0.00753146	132.776
42.658	0.00753242	132.759
43.6516	0.00753339	132.742
44.6684	0.00753435	132.726
45.7088	0.00753531	132.709
46.7735	0.00753626	132.692
47.863	0.00753722	132.675
48.9779	0.00753818	132.658
50.1187	0.00753913	132.641
51.2861	0.00754009	132.624
52.4807	0.00754104	132.608
53.7032	0.007542	132.591
54.9541	0.00754295	132.574
56.2341	0.0075439	132.557
57.544	0.00754485	132.541
58.8844	0.0075458	132.524
60.256	0.00754675	132.507
61.6595	0.0075477	132.491
63.0957	0.00754865	132.474
64.5654	0.0075496	132.457
66.0693	0.00755054	132.441
67.6083	0.00755149	132.424
69.1831	0.00755244	132.408
70.7946	0.00755338	132.391
72.4436	0.00755433	132.374
74.131	0.00755527	132.358
75.8578	0.00755621	132.341
77.6247	0.00755716	132.325
79.4328	0.0075581	132.308
81.2831	0.00755904	132.292
83.1764	0.00755998	132.275
85.1138	0.00756092	132.259
87.0964	0.00756187	132.243
89.1251	0.00756281	132.226
91.2011	0.00756375	132.21
93.3254	0.00756469	132.193
95.4993	0.00756563	132.177
97.7237	0.00756656	132.16
100	0.0075675	132.144
102.329	0.00756848	132.127
104.713	0.00756945	132.11
107.152	0.00757042	132.093
109.648	0.00757139	132.076
112.202	0.00757237	132.059
114.815	0.00757334	132.042
117.49	0.00757431	132.025
120.226	0.00757528	132.008
123.027	0.00757625	131.991
125.893	0.00757723	131.974
128.825	0.0075782	131.958
131.826	0.00757917	131.941
134.896	0.00758014	131.924
138.038	0.00758111	131.907
141.254	0.00758208	131.89
144.544	0.00758305	131.873
147.911	0.00758402	131.856
151.356	0.00758499	131.839
154.882	0.00758597	131.822
158.489	0.00758694	131.806
162.181	0.00758791	131.789
165.959	0.00758888	131.772
169.824	0.00758985	131.755
173.78	0.00759082	131.738
177.828	0.00759179	131.721
181.97	0.00759276	131.704
186.209	0.00759373	131.688
190.546	0.0075947	131.671
194.984	0.00759567	131.654
199.526	0.00759664	131.637
204.174	0.00759761	131.62
208.93	0.00759858	131.604
213.796	0.00759955	131.587
218.776	0.00760052	131.57
223.872	0.00760149	131.553
229.087	0.00760246	131.536
234.423	0.00760343	131.52
239.883	0.0076044	131.503
245.471	0.00760537	131.486
251.189	0.00760634	131.469
257.04	0.00760731	131.452
263.027	0.00760828	131.436
269.153	0.00760925	131.419
275.423	0.00761023	131.402
281.838	0.0076112	131.385
288.403	0.00761217	131.369
295.121	0.00761314	131.352
301.995	0.00761411	131.335
309.03	0.00761508	131.318
316.228	0.00761605	131.302
323.594	0.00761702	131.285
331.131	0.00761799	131.268
338.844	0.00761897	131.251
346.737	0.00761994	131.235
354.813	0.00762091	131.218
363.078	0.00762188	131.201
