x	xg	error+	error-	error
1e-06	23.1035	51.4423	1.64982	26.3342
1.00023e-06	23.1026	51.4337	1.64976	26.3298
1.00046e-06	23.1017	51.4251	1.6497	26.3255
1.00069e-06	23.1008	51.4165	1.64964	26.3212
1.00092e-06	23.0999	51.408	1.64958	26.3169
1.00115e-06	23.099	51.3994	1.64952	26.3126
1.00138e-06	23.0981	51.3908	1.64946	26.3083
1.00161e-06	23.0972	51.3822	1.6494	26.304
1.00184e-06	23.0963	51.3736	1.64934	26.2997
1.00207e-06	23.0954	51.365	1.64928	26.2954
1.00231e-06	23.0945	51.3565	1.64922	26.2911
1.00254e-06	23.0936	51.3479	1.64915	26.2868
1.00277e-06	23.0927	51.3393	1.64909	26.2825
1.003e-06	23.0918	51.3307	1.64903	26.2781
1.00323e-06	23.0909	51.3222	1.64897	26.2738
1.00346e-06	23.09	51.3136	1.64891	26.2695
1.00369e-06	23.0891	51.305	1.64885	26.2652
1.00392e-06	23.0882	51.2964	1.64879	26.2609
1.00415e-06	23.0873	51.2879	1.64873	26.2566
1.00438e-06	23.0864	51.2793	1.64867	26.2523
1.00462e-06	23.0855	51.2707	1.64861	26.248
1.00485e-06	23.0846	51.2622	1.64855	26.2437
1.00508e-06	23.0837	51.2536	1.64848	26.2394
1.00531e-06	23.0828	51.245	1.64842	26.2351
1.00554e-06	23.0819	51.2365	1.64836	26.2308
1.00577e-06	23.081	51.2279	1.6483	26.2265
1.006e-06	23.0801	51.2194	1.64824	26.2222
1.00624e-06	23.0792	51.2108	1.64818	26.2179
1.00647e-06	23.0783	51.2022	1.64812	26.2136
1.0067e-06	23.0774	51.1937	1.64806	26.2094
1.00693e-06	23.0765	51.1851	1.648	26.2051
1.00716e-06	23.0756	51.1766	1.64794	26.2008
1.0074e-06	23.0747	51.168	1.64788	26.1965
1.00763e-06	23.0738	51.1595	1.64781	26.1922
1.00786e-06	23.0729	51.1509	1.64775	26.1879
1.00809e-06	23.072	51.1424	1.64769	26.1836
1.00832e-06	23.0711	51.1338	1.64763	26.1793
1.00856e-06	23.0702	51.1253	1.64757	26.175
1.00879e-06	23.0693	51.1167	1.64751	26.1707
1.00902e-06	23.0684	51.1082	1.64745	26.1664
1.00925e-06	23.0675	51.0997	1.64739	26.1622
1.00949e-06	23.0666	51.0911	1.64733	26.1579
1.00972e-06	23.0657	51.0826	1.64727	26.1536
1.00995e-06	23.0648	51.074	1.64721	26.1493
1.01018e-06	23.0639	51.0655	1.64715	26.145
1.01042e-06	23.063	51.057	1.64708	26.1407
1.01065e-06	23.0621	51.0484	1.64702	26.1364
1.01088e-06	23.0612	51.0399	1.64696	26.1322
1.01111e-06	23.0603	51.0314	1.6469	26.1279
1.01135e-06	23.0594	51.0228	1.64684	26.1236
1.01158e-06	23.0585	51.0143	1.64678	26.1193
1.01181e-06	23.0576	51.0058	1.64672	26.115
1.01205e-06	23.0567	50.9973	1.64666	26.1107
1.01228e-06	23.0558	50.9887	1.6466	26.1065
1.01251e-06	23.0549	50.9802	1.64654	26.1022
1.01274e-06	23.054	50.9717	1.64648	26.0979
1.01298e-06	23.0531	50.9632	1.64642	26.0936
1.01321e-06	23.0522	50.9546	1.64636	26.0893
1.01344e-06	23.0513	50.9461	1.64629	26.0851
1.01368e-06	23.0504	50.9376	1.64623	26.0808
1.01391e-06	23.0495	50.9291	1.64617	26.0765
1.01414e-06	23.0486	50.9206	1.64611	26.0722
1.01438e-06	23.0477	50.912	1.64605	26.068
1.01461e-06	23.0468	50.9035	1.64599	26.0637
1.01485e-06	23.0459	50.895	1.64593	26.0594
1.01508e-06	23.045	50.8865	1.64587	26.0551
1.01531e-06	23.0441	50.878	1.64581	26.0509
1.01555e-06	23.0432	50.8695	1.64575	26.0466
1.01578e-06	23.0423	50.861	1.64569	26.0423
1.01601e-06	23.0414	50.8525	1.64563	26.0381
1.01625e-06	23.0405	50.844	1.64557	26.0338
1.01648e-06	23.0396	50.8355	1.64551	26.0295
1.01672e-06	23.0387	50.827	1.64544	26.0253
1.01695e-06	23.0378	50.8185	1.64538	26.021
1.01719e-06	23.0369	50.81	1.64532	26.0167
1.01742e-06	23.036	50.8015	1.64526	26.0125
1.01765e-06	23.0351	50.793	1.6452	26.0082
1.01789e-06	23.0342	50.7845	1.64514	26.0039
1.01812e-06	23.0333	50.776	1.64508	25.9997
1.01836e-06	23.0324	50.7675	1.64502	25.9954
1.01859e-06	23.0315	50.759	1.64496	25.9911
1.01883e-06	23.0306	50.7505	1.6449	25.9869
1.01906e-06	23.0297	50.742	1.64484	25.9826
1.0193e-06	23.0288	50.7335	1.64478	25.9784
1.01953e-06	23.0279	50.7251	1.64472	25.9741
1.01976e-06	23.027	50.7166	1.64466	25.9698
1.02e-06	23.0261	50.7081	1.64459	25.9656
1.02023e-06	23.0253	50.6996	1.64453	25.9613
1.02047e-06	23.0244	50.6911	1.64447	25.9571
1.0207e-06	23.0235	50.6827	1.64441	25.9528
1.02094e-06	23.0226	50.6742	1.64435	25.9486
1.02117e-06	23.0217	50.6657	1.64429	25.9443
1.02141e-06	23.0208	50.6572	1.64423	25.9401
1.02164e-06	23.0199	50.6488	1.64417	25.9358
1.02188e-06	23.019	50.6403	1.64411	25.9316
1.02212e-06	23.0181	50.6318	1.64405	25.9273
1.02235e-06	23.0172	50.6234	1.64399	25.9231
1.02259e-06	23.0163	50.6149	1.64393	25.9188
1.02282e-06	23.0154	50.6065	1.64387	25.9146
1.02306e-06	23.0145	50.598	1.64381	25.9103
1.02329e-06	23.0136	50.5895	1.64375	25.9061
1.02353e-06	23.0127	50.5811	1.64369	25.9018
1.02376e-06	23.0118	50.5726	1.64362	25.8976
1.024e-06	23.0109	50.5642	1.64356	25.8933
1.02424e-06	23.01	50.5557	1.6435	25.8891
1.02447e-06	23.0091	50.5473	1.64344	25.8849
1.02471e-06	23.0082	50.5388	1.64338	25.8806
1.02494e-06	23.0073	50.5304	1.64332	25.8764
1.02518e-06	23.0064	50.5219	1.64326	25.8721
1.02542e-06	23.0055	50.5135	1.6432	25.8679
1.02565e-06	23.0046	50.5051	1.64314	25.8637
1.02589e-06	23.0037	50.4966	1.64308	25.8594
1.02612e-06	23.0028	50.4882	1.64302	25.8552
1.02636e-06	23.0019	50.4797	1.64296	25.8509
1.0266e-06	23.001	50.4713	1.6429	25.8467
1.02683e-06	23.0001	50.4629	1.64284	25.8425
1.02707e-06	22.9992	50.4544	1.64278	25.8382
1.02731e-06	22.9983	50.446	1.64272	25.834
1.02754e-06	22.9974	50.4376	1.64266	25.8298
1.02778e-06	22.9965	50.4292	1.64259	25.8256
1.02802e-06	22.9956	50.4207	1.64253	25.8213
1.02825e-06	22.9947	50.4123	1.64247	25.8171
1.02849e-06	22.9938	50.4039	1.64241	25.8129
1.02873e-06	22.9929	50.3955	1.64235	25.8086
1.02896e-06	22.992	50.387	1.64229	25.8044
1.0292e-06	22.9911	50.3786	1.64223	25.8002
1.02944e-06	22.9902	50.3702	1.64217	25.796
1.02967e-06	22.9893	50.3618	1.64211	25.7917
1.02991e-06	22.9885	50.3534	1.64205	25.7875
1.03015e-06	22.9876	50.345	1.64199	25.7833
1.03039e-06	22.9867	50.3366	1.64193	25.7791
1.03062e-06	22.9858	50.3281	1.64187	25.7748
1.03086e-06	22.9849	50.3197	1.64181	25.7706
1.0311e-06	22.984	50.3113	1.64175	25.7664
1.03134e-06	22.9831	50.3029	1.64169	25.7622
1.03157e-06	22.9822	50.2945	1.64163	25.758
1.03181e-06	22.9813	50.2861	1.64157	25.7537
1.03205e-06	22.9804	50.2777	1.64151	25.7495
1.03229e-06	22.9795	50.2693	1.64145	25.7453
1.03252e-06	22.9786	50.2609	1.64138	25.7411
1.03276e-06	22.9777	50.2525	1.64132	25.7369
1.033e-06	22.9768	50.2441	1.64126	25.7327
1.03324e-06	22.9759	50.2357	1.6412	25.7285
1.03348e-06	22.975	50.2274	1.64114	25.7242
1.03371e-06	22.9741	50.219	1.64108	25.72
1.03395e-06	22.9732	50.2106	1.64102	25.7158
1.03419e-06	22.9723	50.2022	1.64096	25.7116
1.03443e-06	22.9714	50.1938	1.6409	25.7074
1.03467e-06	22.9705	50.1854	1.64084	25.7032
1.0349e-06	22.9696	50.1771	1.64078	25.699
1.03514e-06	22.9687	50.1687	1.64072	25.6948
1.03538e-06	22.9678	50.1603	1.64066	25.6906
1.03562e-06	22.9669	50.1519	1.6406	25.6864
1.03586e-06	22.966	50.1435	1.64054	25.6822
1.0361e-06	22.9651	50.1352	1.64048	25.678
1.03633e-06	22.9642	50.1268	1.64042	25.6738
1.03657e-06	22.9634	50.1184	1.64036	25.6696
1.03681e-06	22.9625	50.1101	1.6403	25.6654
1.03705e-06	22.9616	50.1017	1.64024	25.6612
1.03729e-06	22.9607	50.0933	1.64018	25.657
1.03753e-06	22.9598	50.085	1.64012	25.6528
1.03777e-06	22.9589	50.0766	1.64006	25.6486
1.03801e-06	22.958	50.0682	1.63999	25.6444
1.03825e-06	22.9571	50.0599	1.63993	25.6402
1.03848e-06	22.9562	50.0515	1.63987	25.636
1.03872e-06	22.9553	50.0432	1.63981	25.6318
1.03896e-06	22.9544	50.0348	1.63975	25.6276
1.0392e-06	22.9535	50.0265	1.63969	25.6234
1.03944e-06	22.9526	50.0181	1.63963	25.6192
1.03968e-06	22.9517	50.0098	1.63957	25.615
1.03992e-06	22.9508	50.0014	1.63951	25.6108
1.04016e-06	22.9499	49.9931	1.63945	25.6066
1.0404e-06	22.949	49.9847	1.63939	25.6024
1.04064e-06	22.9481	49.9764	1.63933	25.5982
1.04088e-06	22.9472	49.968	1.63927	25.5941
1.04112e-06	22.9463	49.9597	1.63921	25.5899
1.04136e-06	22.9454	49.9514	1.63915	25.5857
1.0416e-06	22.9445	49.943	1.63909	25.5815
1.04184e-06	22.9436	49.9347	1.63903	25.5773
1.04208e-06	22.9428	49.9263	1.63897	25.5731
1.04232e-06	22.9419	49.918	1.63891	25.5689
1.04256e-06	22.941	49.9097	1.63885	25.5648
1.0428e-06	22.9401	49.9013	1.63879	25.5606
1.04304e-06	22.9392	49.893	1.63873	25.5564
1.04328e-06	22.9383	49.8847	1.63867	25.5522
