x	xg	error+	error-	error
1e-06	186.057	35.8843	35.8843	35.8843
1.00023e-06	186.046	35.8805	35.8805	35.8805
1.00046e-06	186.034	35.8768	35.8768	35.8768
1.00069e-06	186.023	35.873	35.873	35.873
1.00092e-06	186.012	35.8693	35.8693	35.8693
1.00115e-06	186.001	35.8655	35.8655	35.8655
1.00138e-06	185.99	35.8618	35.8618	35.8618
1.00161e-06	185.979	35.858	35.858	35.858
1.00184e-06	185.968	35.8542	35.8542	35.8542
1.00207e-06	185.956	35.8505	35.8505	35.8505
1.00231e-06	185.945	35.8467	35.8467	35.8467
1.00254e-06	185.934	35.843	35.843	35.843
1.00277e-06	185.923	35.8392	35.8392	35.8392
1.003e-06	185.912	35.8355	35.8355	35.8355
1.00323e-06	185.901	35.8317	35.8317	35.8317
1.00346e-06	185.89	35.828	35.828	35.828
1.00369e-06	185.879	35.8242	35.8242	35.8242
1.00392e-06	185.868	35.8205	35.8205	35.8205
1.00415e-06	185.856	35.8167	35.8167	35.8167
1.00438e-06	185.845	35.8129	35.8129	35.8129
1.00462e-06	185.834	35.8092	35.8092	35.8092
1.00485e-06	185.823	35.8054	35.8054	35.8054
1.00508e-06	185.812	35.8017	35.8017	35.8017
1.00531e-06	185.801	35.7979	35.7979	35.7979
1.00554e-06	185.79	35.7942	35.7942	35.7942
1.00577e-06	185.779	35.7904	35.7904	35.7904
1.006e-06	185.767	35.7867	35.7867	35.7867
1.00624e-06	185.756	35.7829	35.7829	35.7829
1.00647e-06	185.745	35.7792	35.7792	35.7792
1.0067e-06	185.734	35.7754	35.7754	35.7754
1.00693e-06	185.723	35.7717	35.7717	35.7717
1.00716e-06	185.712	35.7679	35.7679	35.7679
1.0074e-06	185.701	35.7642	35.7642	35.7642
1.00763e-06	185.69	35.7604	35.7604	35.7604
1.00786e-06	185.679	35.7567	35.7567	35.7567
1.00809e-06	185.667	35.753	35.753	35.753
1.00832e-06	185.656	35.7492	35.7492	35.7492
1.00856e-06	185.645	35.7455	35.7455	35.7455
1.00879e-06	185.634	35.7417	35.7417	35.7417
1.00902e-06	185.623	35.738	35.738	35.738
1.00925e-06	185.612	35.7342	35.7342	35.7342
1.00949e-06	185.601	35.7305	35.7305	35.7305
1.00972e-06	185.59	35.7267	35.7267	35.7267
1.00995e-06	185.579	35.723	35.723	35.723
1.01018e-06	185.567	35.7192	35.7192	35.7192
1.01042e-06	185.556	35.7155	35.7155	35.7155
1.01065e-06	185.545	35.7118	35.7118	35.7118
1.01088e-06	185.534	35.708	35.708	35.708
1.01111e-06	185.523	35.7043	35.7043	35.7043
1.01135e-06	185.512	35.7005	35.7005	35.7005
1.01158e-06	185.501	35.6968	35.6968	35.6968
1.01181e-06	185.49	35.693	35.693	35.693
1.01205e-06	185.479	35.6893	35.6893	35.6893
1.01228e-06	185.468	35.6856	35.6856	35.6856
1.01251e-06	185.456	35.6818	35.6818	35.6818
1.01274e-06	185.445	35.6781	35.6781	35.6781
1.01298e-06	185.434	35.6743	35.6743	35.6743
1.01321e-06	185.423	35.6706	35.6706	35.6706
1.01344e-06	185.412	35.6669	35.6669	35.6669
1.01368e-06	185.401	35.6631	35.6631	35.6631
1.01391e-06	185.39	35.6594	35.6594	35.6594
1.01414e-06	185.379	35.6556	35.6556	35.6556
1.01438e-06	185.368	35.6519	35.6519	35.6519
1.01461e-06	185.357	35.6482	35.6482	35.6482
1.01485e-06	185.345	35.6444	35.6444	35.6444
1.01508e-06	185.334	35.6407	35.6407	35.6407
1.01531e-06	185.323	35.637	35.637	35.637
1.01555e-06	185.312	35.6332	35.6332	35.6332
1.01578e-06	185.301	35.6295	35.6295	35.6295
1.01601e-06	185.29	35.6257	35.6257	35.6257
1.01625e-06	185.279	35.622	35.622	35.622
1.01648e-06	185.268	35.6183	35.6183	35.6183
1.01672e-06	185.257	35.6145	35.6145	35.6145
1.01695e-06	185.246	35.6108	35.6108	35.6108
1.01719e-06	185.235	35.6071	35.6071	35.6071
1.01742e-06	185.223	35.6033	35.6033	35.6033
1.01765e-06	185.212	35.5996	35.5996	35.5996
1.01789e-06	185.201	35.5959	35.5959	35.5959
1.01812e-06	185.19	35.5921	35.5921	35.5921
1.01836e-06	185.179	35.5884	35.5884	35.5884
1.01859e-06	185.168	35.5847	35.5847	35.5847
1.01883e-06	185.157	35.5809	35.5809	35.5809
1.01906e-06	185.146	35.5772	35.5772	35.5772
1.0193e-06	185.135	35.5735	35.5735	35.5735
1.01953e-06	185.124	35.5697	35.5697	35.5697
1.01976e-06	185.113	35.566	35.566	35.566
1.02e-06	185.101	35.5623	35.5623	35.5623
1.02023e-06	185.09	35.5586	35.5586	35.5586
1.02047e-06	185.079	35.5548	35.5548	35.5548
1.0207e-06	185.068	35.5511	35.5511	35.5511
1.02094e-06	185.057	35.5474	35.5474	35.5474
1.02117e-06	185.046	35.5436	35.5436	35.5436
1.02141e-06	185.035	35.5399	35.5399	35.5399
1.02164e-06	185.024	35.5362	35.5362	35.5362
1.02188e-06	185.013	35.5325	35.5325	35.5325
1.02212e-06	185.002	35.5287	35.5287	35.5287
1.02235e-06	184.991	35.525	35.525	35.525
1.02259e-06	184.98	35.5213	35.5213	35.5213
1.02282e-06	184.969	35.5176	35.5176	35.5176
1.02306e-06	184.957	35.5138	35.5138	35.5138
1.02329e-06	184.946	35.5101	35.5101	35.5101
1.02353e-06	184.935	35.5064	35.5064	35.5064
1.02376e-06	184.924	35.5027	35.5027	35.5027
1.024e-06	184.913	35.4989	35.4989	35.4989
1.02424e-06	184.902	35.4952	35.4952	35.4952
1.02447e-06	184.891	35.4915	35.4915	35.4915
1.02471e-06	184.88	35.4878	35.4878	35.4878
1.02494e-06	184.869	35.484	35.484	35.484
1.02518e-06	184.858	35.4803	35.4803	35.4803
1.02542e-06	184.847	35.4766	35.4766	35.4766
1.02565e-06	184.836	35.4729	35.4729	35.4729
1.02589e-06	184.825	35.4692	35.4692	35.4692
1.02612e-06	184.814	35.4654	35.4654	35.4654
1.02636e-06	184.802	35.4617	35.4617	35.4617
1.0266e-06	184.791	35.458	35.458	35.458
1.02683e-06	184.78	35.4543	35.4543	35.4543
1.02707e-06	184.769	35.4506	35.4506	35.4506
1.02731e-06	184.758	35.4468	35.4468	35.4468
1.02754e-06	184.747	35.4431	35.4431	35.4431
1.02778e-06	184.736	35.4394	35.4394	35.4394
1.02802e-06	184.725	35.4357	35.4357	35.4357
1.02825e-06	184.714	35.432	35.432	35.432
1.02849e-06	184.703	35.4282	35.4282	35.4282
1.02873e-06	184.692	35.4245	35.4245	35.4245
1.02896e-06	184.681	35.4208	35.4208	35.4208
1.0292e-06	184.67	35.4171	35.4171	35.4171
1.02944e-06	184.659	35.4134	35.4134	35.4134
1.02967e-06	184.648	35.4097	35.4097	35.4097
1.02991e-06	184.637	35.406	35.406	35.406
1.03015e-06	184.625	35.4022	35.4022	35.4022
1.03039e-06	184.614	35.3985	35.3985	35.3985
1.03062e-06	184.603	35.3948	35.3948	35.3948
1.03086e-06	184.592	35.3911	35.3911	35.3911
1.0311e-06	184.581	35.3874	35.3874	35.3874
1.03134e-06	184.57	35.3837	35.3837	35.3837
1.03157e-06	184.559	35.38	35.38	35.38
1.03181e-06	184.548	35.3762	35.3762	35.3762
1.03205e-06	184.537	35.3725	35.3725	35.3725
1.03229e-06	184.526	35.3688	35.3688	35.3688
1.03252e-06	184.515	35.3651	35.3651	35.3651
1.03276e-06	184.504	35.3614	35.3614	35.3614
1.033e-06	184.493	35.3577	35.3577	35.3577
1.03324e-06	184.482	35.354	35.354	35.354
1.03348e-06	184.471	35.3503	35.3503	35.3503
1.03371e-06	184.46	35.3466	35.3466	35.3466
1.03395e-06	184.449	35.3429	35.3429	35.3429
1.03419e-06	184.438	35.3391	35.3391	35.3391
1.03443e-06	184.427	35.3354	35.3354	35.3354
1.03467e-06	184.415	35.3317	35.3317	35.3317
1.0349e-06	184.404	35.328	35.328	35.328
1.03514e-06	184.393	35.3243	35.3243	35.3243
1.03538e-06	184.382	35.3206	35.3206	35.3206
1.03562e-06	184.371	35.3169	35.3169	35.3169
1.03586e-06	184.36	35.3132	35.3132	35.3132
1.0361e-06	184.349	35.3095	35.3095	35.3095
1.03633e-06	184.338	35.3058	35.3058	35.3058
1.03657e-06	184.327	35.3021	35.3021	35.3021
1.03681e-06	184.316	35.2984	35.2984	35.2984
1.03705e-06	184.305	35.2947	35.2947	35.2947
1.03729e-06	184.294	35.291	35.291	35.291
1.03753e-06	184.283	35.2873	35.2873	35.2873
1.03777e-06	184.272	35.2836	35.2836	35.2836
1.03801e-06	184.261	35.2799	35.2799	35.2799
1.03825e-06	184.25	35.2762	35.2762	35.2762
1.03848e-06	184.239	35.2725	35.2725	35.2725
1.03872e-06	184.228	35.2688	35.2688	35.2688
1.03896e-06	184.217	35.2651	35.2651	35.2651
1.0392e-06	184.206	35.2614	35.2614	35.2614
1.03944e-06	184.195	35.2577	35.2577	35.2577
1.03968e-06	184.184	35.254	35.254	35.254
1.03992e-06	184.173	35.2503	35.2503	35.2503
1.04016e-06	184.162	35.2466	35.2466	35.2466
1.0404e-06	184.151	35.2429	35.2429	35.2429
1.04064e-06	184.14	35.2392	35.2392	35.2392
1.04088e-06	184.128	35.2355	35.2355	35.2355
1.04112e-06	184.117	35.2318	35.2318	35.2318
1.04136e-06	184.106	35.2281	35.2281	35.2281
1.0416e-06	184.095	35.2244	35.2244	35.2244
1.04184e-06	184.084	35.2207	35.2207	35.2207
1.04208e-06	184.073	35.217	35.217	35.217
1.04232e-06	184.062	35.2133	35.2133	35.2133
1.04256e-06	184.051	35.2096	35.2096	35.2096
1.0428e-06	184.04	35.2059	35.2059	35.2059
1.04304e-06	184.029	35.2022	35.2022	35.2022
1.04328e-06	184.018	35.1985	35.1985	35.1985
1.04352e-06	184.007	35.1948	35.1948	35.1948
1.04376e-06	183.996	35.1911	35.1911	35.1911
1.044e-06	183.985	35.1874	35.1874	35.1874
1.04424e-06	183.974	35.1837	35.1837	35.1837
1.04448e-06	183.963	35.18	35.18	35.18
1.04472e-06	183.952	35.1763	35.1763	35.1763
1.04496e-06	183.941	35.1726	35.1726	35.1726
1.0452e-06	183.93	35.1689	35.1689	35.1689
1.04544e-06	183.919	35.1653	35.1653	35.1653
1.04568e-06	183.908	35.1616	35.1616	35.1616
1.04592e-06	183.897	35.1579	35.1579	35.1579
1.04616e-06	183.886	35.1542	35.1542	35.1542
1.04641e-06	183.875	35.1505	35.1505	35.1505
1.04665e-06	183.864	35.1468	35.1468	35.1468
1.04689e-06	183.853	35.1431	35.1431	35.1431
1.04713e-06	183.842	35.1394	35.1394	35.1394
1.04737e-06	183.831	35.1357	35.1357	35.1357
1.04761e-06	183.82	35.132	35.132	35.132
1.04785e-06	183.809	35.1284	35.1284	35.1284
1.04809e-06	183.798	35.1247	35.1247	35.1247
1.04833e-06	183.787	35.121	35.121	35.121
1.04858e-06	183.776	35.1173	35.1173	35.1173
1.04882e-06	183.765	35.1136	35.1136	35.1136
1.04906e-06	183.754	35.1099	35.1099	35.1099
1.0493e-06	183.743	35.1062	35.1062	35.1062
1.04954e-06	183.732	35.1025	35.1025	35.1025
1.04978e-06	183.721	35.0989	35.0989	35.0989
1.05003e-06	183.71	35.0952	35.0952	35.0952
1.05027e-06	183.699	35.0915	35.0915	35.0915
1.05051e-06	183.688	35.0878	35.0878	35.0878
1.05075e-06	183.677	35.0841	35.0841	35.0841
1.05099e-06	183.666	35.0804	35.0804	35.0804
1.05124e-06	183.655	35.0768	35.0768	35.0768
1.05148e-06	183.644	35.0731	35.0731	35.0731
1.05172e-06	183.633	35.0694	35.0694	35.0694
1.05196e-06	183.622	35.0657	35.0657	35.0657
1.0522e-06	183.611	35.062	35.062	35.062
1.05245e-06	183.6	35.0583	35.0583	35.0583
1.05269e-06	183.589	35.0547	35.0547	35.0547
1.05293e-06	183.578	35.051	35.051	35.051
1.05317e-06	183.567	35.0473	35.0473	35.0473
1.05342e-06	183.556	35.0436	35.0436	35.0436
1.05366e-06	183.545	35.0399	35.0399	35.0399
1.0539e-06	183.534	35.0363	35.0363	35.0363
1.05414e-06	183.523	35.0326	35.0326	35.0326
1.05439e-06	183.512	35.0289	35.0289	35.0289
1.05463e-06	183.501	35.0252	35.0252	35.0252
1.05487e-06	183.49	35.0215	35.0215	35.0215
1.05512e-06	183.479	35.0179	35.0179	35.0179
1.05536e-06	183.468	35.0142	35.0142	35.0142
1.0556e-06	183.457	35.0105	35.0105	35.0105
1.05584e-06	183.446	35.0068	35.0068	35.0068
1.05609e-06	183.435	35.0032	35.0032	35.0032
1.05633e-06	183.424	34.9995	34.9995	34.9995
1.05657e-06	183.413	34.9958	34.9958	34.9958
1.05682e-06	183.402	34.9921	34.9921	34.9921
1.05706e-06	183.391	34.9885	34.9885	34.9885
1.0573e-06	183.38	34.9848	34.9848	34.9848
1.05755e-06	183.369	34.9811	34.9811	34.9811
1.05779e-06	183.358	34.9774	34.9774	34.9774
1.05803e-06	183.347	34.9738	34.9738	34.9738
1.05828e-06	183.336	34.9701	34.9701	34.9701
1.05852e-06	183.325	34.9664	34.9664	34.9664
1.05877e-06	183.314	34.9627	34.9627	34.9627
1.05901e-06	183.303	34.9591	34.9591	34.9591
1.05925e-06	183.292	34.9554	34.9554	34.9554
1.0595e-06	183.281	34.9517	34.9517	34.9517
1.05974e-06	183.27	34.9481	34.9481	34.9481
1.05999e-06	183.259	34.9444	34.9444	34.9444
1.06023e-06	183.248	34.9407	34.9407	34.9407
1.06047e-06	183.237	34.937	34.937	34.937
1.06072e-06	183.226	34.9334	34.9334	34.9334
1.06096e-06	183.215	34.9297	34.9297	34.9297
1.06121e-06	183.204	34.926	34.926	34.926
1.06145e-06	183.193	34.9224	34.9224	34.9224
1.0617e-06	183.182	34.9187	34.9187	34.9187
1.06194e-06	183.171	34.915	34.915	34.915
1.06218e-06	183.16	34.9114	34.9114	34.9114
1.06243e-06	183.149	34.9077	34.9077	34.9077
1.06267e-06	183.138	34.904	34.904	34.904
1.06292e-06	183.127	34.9004	34.9004	34.9004
1.06316e-06	183.116	34.8967	34.8967	34.8967
1.06341e-06	183.105	34.893	34.893	34.893
1.06365e-06	183.094	34.8894	34.8894	34.8894
1.0639e-06	183.083	34.8857	34.8857	34.8857
1.06414e-06	183.072	34.882	34.882	34.882
1.06439e-06	183.061	34.8784	34.8784	34.8784
1.06463e-06	183.05	34.8747	34.8747	34.8747
1.06488e-06	183.039	34.871	34.871	34.871
1.06512e-06	183.028	34.8674	34.8674	34.8674
1.06537e-06	183.017	34.8637	34.8637	34.8637
1.06561e-06	183.006	34.86	34.86	34.86
1.06586e-06	182.995	34.8564	34.8564	34.8564
1.06611e-06	182.984	34.8527	34.8527	34.8527
1.06635e-06	182.973	34.8491	34.8491	34.8491
1.0666e-06	182.962	34.8454	34.8454	34.8454
1.06684e-06	182.951	34.8417	34.8417	34.8417
1.06709e-06	182.94	34.8381	34.8381	34.8381
1.06733e-06	182.929	34.8344	34.8344	34.8344
1.06758e-06	182.918	34.8308	34.8308	34.8308
1.06782e-06	182.908	34.8271	34.8271	34.8271
1.06807e-06	182.897	34.8234	34.8234	34.8234
1.06832e-06	182.886	34.8198	34.8198	34.8198
1.06856e-06	182.875	34.8161	34.8161	34.8161
1.06881e-06	182.864	34.8125	34.8125	34.8125
1.06905e-06	182.853	34.8088	34.8088	34.8088
1.0693e-06	182.842	34.8051	34.8051	34.8051
1.06955e-06	182.831	34.8015	34.8015	34.8015
1.06979e-06	182.82	34.7978	34.7978	34.7978
1.07004e-06	182.809	34.7942	34.7942	34.7942
1.07029e-06	182.798	34.7905	34.7905	34.7905
1.07053e-06	182.787	34.7869	34.7869	34.7869
1.07078e-06	182.776	34.7832	34.7832	34.7832
1.07103e-06	182.765	34.7795	34.7795	34.7795
1.07127e-06	182.754	34.7759	34.7759	34.7759
1.07152e-06	182.743	34.7722	34.7722	34.7722
1.07177e-06	182.732	34.7686	34.7686	34.7686
1.07201e-06	182.721	34.7649	34.7649	34.7649
1.07226e-06	182.71	34.7613	34.7613	34.7613
1.07251e-06	182.699	34.7576	34.7576	34.7576
1.07275e-06	182.688	34.754	34.754	34.754
1.073e-06	182.677	34.7503	34.7503	34.7503
1.07325e-06	182.666	34.7467	34.7467	34.7467
1.07349e-06	182.655	34.743	34.743	34.743
1.07374e-06	182.644	34.7394	34.7394	34.7394
1.07399e-06	182.633	34.7357	34.7357	34.7357
1.07424e-06	182.623	34.7321	34.7321	34.7321
1.07448e-06	182.612	34.7284	34.7284	34.7284
1.07473e-06	182.601	34.7247	34.7247	34.7247
1.07498e-06	182.59	34.7211	34.7211	34.7211
1.07523e-06	182.579	34.7174	34.7174	34.7174
1.07547e-06	182.568	34.7138	34.7138	34.7138
1.07572e-06	182.557	34.7102	34.7102	34.7102
1.07597e-06	182.546	34.7065	34.7065	34.7065
1.07622e-06	182.535	34.7029	34.7029	34.7029
1.07647e-06	182.524	34.6992	34.6992	34.6992
1.07671e-06	182.513	34.6956	34.6956	34.6956
1.07696e-06	182.502	34.6919	34.6919	34.6919
1.07721e-06	182.491	34.6883	34.6883	34.6883
1.07746e-06	182.48	34.6846	34.6846	34.6846
1.07771e-06	182.469	34.681	34.681	34.681
1.07795e-06	182.458	34.6773	34.6773	34.6773
1.0782e-06	182.447	34.6737	34.6737	34.6737
1.07845e-06	182.436	34.67	34.67	34.67
1.0787e-06	182.425	34.6664	34.6664	34.6664
1.07895e-06	182.415	34.6627	34.6627	34.6627
1.0792e-06	182.404	34.6591	34.6591	34.6591
1.07944e-06	182.393	34.6555	34.6555	34.6555
1.07969e-06	182.382	34.6518	34.6518	34.6518
1.07994e-06	182.371	34.6482	34.6482	34.6482
1.08019e-06	182.36	34.6445	34.6445	34.6445
1.08044e-06	182.349	34.6409	34.6409	34.6409
1.08069e-06	182.338	34.6372	34.6372	34.6372
1.08094e-06	182.327	34.6336	34.6336	34.6336
1.08118e-06	182.316	34.63	34.63	34.63
1.08143e-06	182.305	34.6263	34.6263	34.6263
1.08168e-06	182.294	34.6227	34.6227	34.6227
1.08193e-06	182.283	34.619	34.619	34.619
1.08218e-06	182.272	34.6154	34.6154	34.6154
1.08243e-06	182.261	34.6118	34.6118	34.6118
1.08268e-06	182.25	34.6081	34.6081	34.6081
1.08293e-06	182.24	34.6045	34.6045	34.6045
1.08318e-06	182.229	34.6008	34.6008	34.6008
1.08343e-06	182.218	34.5972	34.5972	34.5972
1.08368e-06	182.207	34.5936	34.5936	34.5936
1.08393e-06	182.196	34.5899	34.5899	34.5899
1.08418e-06	182.185	34.5863	34.5863	34.5863
1.08443e-06	182.174	34.5826	34.5826	34.5826
1.08468e-06	182.163	34.579	34.579	34.579
1.08493e-06	182.152	34.5754	34.5754	34.5754
1.08518e-06	182.141	34.5717	34.5717	34.5717
1.08543e-06	182.13	34.5681	34.5681	34.5681
1.08568e-06	182.119	34.5645	34.5645	34.5645
1.08593e-06	182.108	34.5608	34.5608	34.5608
1.08618e-06	182.097	34.5572	34.5572	34.5572
1.08643e-06	182.086	34.5536	34.5536	34.5536
1.08668e-06	182.076	34.5499	34.5499	34.5499
1.08693e-06	182.065	34.5463	34.5463	34.5463
1.08718e-06	182.054	34.5427	34.5427	34.5427
1.08743e-06	182.043	34.539	34.539	34.539
1.08768e-06	182.032	34.5354	34.5354	34.5354
1.08793e-06	182.021	34.5318	34.5318	34.5318
1.08818e-06	182.01	34.5281	34.5281	34.5281
1.08843e-06	181.999	34.5245	34.5245	34.5245
1.08868e-06	181.988	34.5209	34.5209	34.5209
